,Titres,Compagnies,Villes,Regions,Heures,Type Emplois,Salaires,Salaires Max Possibles,Contrats
0,Préposé en maintenance de bâtiments,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.0 ," Full time , Part time",22.25,25.00,"Casual , Permanent , Seasonal  job"
1,Chargé de projet,Barrière QMB,Laval,QC,40.00 , Full time,,,"Permanent , Telecommuting  job"
2,Dessinateur 2D en structure d'acier,Lainco inc.,Terrebonne,QC,37.5 , Full time,,,"Permanent , Telecommuting  job"
3,Machiniste mouliste,DSD International inc.,Thetford-Mines,QC,40 , Full time,,,Permanent  job
4,Opérateur.trice d'équipements lourds (paveuse),Les Entreprises Michaudville inc.,Montreal,QC,45 , Full time,,,Permanent  job
5,Opérateur.trice de rouleau - pavage,Les Entreprises Michaudville inc.,Mont-Saint-Hilaire,QC,45 , Full time,,,Permanent  job
6,Chef d'atelier de soir,Force Kia,Quebec City,QC,40.0 , Full time,70000.00,76000.00,Permanent  job
7,détailleur/manoeuvre/opérateur,Tecno-Métal inc.,Quebec City,QC,Full time,,24.00,30.00,Permanent  job
8,Dessinateur REVIT ventilation,TBC Constructions inc.,Brossard,QC,40 , Full time,,,"Permanent , Telecommuting  job"
9,Mécanicien de machineries lourdes,Entreprises G.N.P. inc.,Victoriaville,QC,40.00 , Full time,,,Permanent  job
10,Assistant(e) aux projets,LES ENTREPRISES GÉNÉREUX,Saint-Jean-de-Matha,QC,40.0 , Full time,,,Permanent  job
11,Technicien électronique,Les Services Electro-Techno Inc.,Sherbrooke,QC,40.00 , Full time,,,Permanent  job
12,Préposé aux glissades,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.00 , Full time,,,Seasonal  job
13,Fiscaliste,"Lemieux Nolet, Comptables Professionnels Agréés s.e.n.c.r.l",Lévis,QC,37.5 , Full time,,,Permanent  job
14,Chauffeur - classe 1,Transport Grayson inc.,Danville,QC,60.0 , Full time,,,Permanent  job
15,Mécanicien de véhicules lourds,Excavations Tourigny inc.,Bécancour,QC,40.0 , Full time,,,Permanent  job
16,Dessinateur 2D en structure d'acier,Lainco inc.,Terrebonne,QC,37.5 , Full time,,,"Permanent , Telecommuting  job"
17,Machiniste mouliste,DSD International inc.,Thetford-Mines,QC,40 , Full time,,,Permanent  job
18,Opérateur.trice d'équipements lourds (paveuse),Les Entreprises Michaudville inc.,Montreal,QC,45 , Full time,,,Permanent  job
19,Opérateur.trice de rouleau - pavage,Les Entreprises Michaudville inc.,Mont-Saint-Hilaire,QC,45 , Full time,,,Permanent  job
